,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-09-10,23.47,14.0,0,8,23.0,28.0,15.0,7.0
2019-01-09-11,23.72,18.5,3,6,22.0,30.0,21.0,8.0
2019-01-09-12,24.67,13.5,6,8,34.0,28.0,23.0,12.0
2019-01-09-13,24.17,7.0,12,7,41.0,25.0,21.0,14.0
2019-01-09-14,23.28,10.5,23,6,50.0,20.0,19.0,22.0
2019-01-09-15,24.35,13.0,7,7,55.0,16.0,19.0,27.0
2019-01-09-16,28.71,15.0,7,7,62.0,12.0,17.0,27.0
2019-01-09-17,30.5,14.5,-4,9,61.0,13.0,18.0,28.0
2019-01-09-18,33.56,16.0,-5,8,59.0,14.0,17.0,25.0
2019-01-09-19,35.0,19.0,-6,8,62.0,15.0,18.0,26.0
2019-01-09-20,35.83,17.0,1,6,67.0,17.0,17.0,24.0
2019-01-09-21,30.44,16.5,2,7,75.0,14.0,20.0,24.0
2019-01-09-22,31.47,18.0,3,8,70.0,13.0,20.0,21.0
2019-01-09-23,29.61,15.5,2,6,69.0,12.0,19.0,20.0
2019-01-10-00,29.89,14.5,4,6,72.0,13.0,21.0,18.0
2019-01-10-01,30.17,15.0,1,5,68.0,15.0,27.0,18.0
2019-01-10-02,30.78,14.5,0,4,64.0,15.0,28.0,22.0
2019-01-10-03,29.0,13.5,4,6,55.0,14.0,29.0,22.0
2019-01-10-04,28.94,15.5,3,5,54.0,14.0,27.0,21.0
2019-01-10-05,28.11,16.0,4,7,53.0,11.0,26.0,23.0
2019-01-10-06,28.78,14.0,0,6,49.0,11.0,26.0,32.0
2019-01-10-07,27.78,16.0,5,8,54.0,10.0,27.0,38.0
2019-01-10-08,29.78,17.5,7,10,58.0,11.0,27.0,44.0
2019-01-10-09,33.33,15.5,1,10,53.0,13.0,28.0,42.0
2019-01-10-10,37.22,14.5,4,11,60.0,14.0,26.0,47.0
2019-01-10-11,38.78,15.0,5,12,68.0,15.0,26.0,38.0
2019-01-10-12,36.67,14.5,8,11,76.0,17.0,23.0,35.0
