,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-14-23,6.94,3.5,1,0,0.76,3.06,1.91,4.58
2019-01-15-00,6.72,3.5,1,1,1.15,3.06,1.91,2.67
2019-01-15-01,6.39,3.5,1,-999,8.02,3.06,1.91,1.91
2019-01-15-02,6.22,3.5,1,0,2.29,2.67,1.53,1.53
2019-01-15-03,5.83,3.5,1,0,0.76,2.67,1.53,1.53
2019-01-15-04,5.22,3.5,1,0,0.76,2.67,1.53,1.53
2019-01-15-05,4.72,4.0,1,1,1.15,3.06,1.53,1.53
2019-01-15-06,4.72,4.5,1,0,1.15,3.06,1.53,1.15
2019-01-15-07,4.89,4.0,1,1,0.76,2.67,1.53,1.53
2019-01-15-08,5.06,4.0,1,1,1.15,2.67,1.53,1.53
2019-01-15-09,5.11,4.0,1,0,1.15,3.06,1.91,1.53
2019-01-15-10,5.61,3.0,-999,1,1.15,3.44,1.91,1.53
2019-01-15-11,5.88,3.5,1,1,1.15,3.82,2.29,1.53
2019-01-15-12,5.35,3.5,1,0,1.15,3.44,2.67,1.53
2019-01-15-13,5.35,3.0,1,1,1.15,3.44,2.67,1.53
2019-01-15-14,5.44,3.0,1,1,1.15,4.58,3.06,1.15
2019-01-15-15,4.88,3.5,1,2,1.15,4.58,2.67,1.53
2019-01-15-16,4.35,3.5,1,1,1.15,4.2,3.06,1.91
2019-01-15-17,3.94,4.0,1,1,1.15,5.35,1.91,2.29
2019-01-15-18,3.89,4.0,1,0,1.53,4.97,1.91,3.06
2019-01-15-19,3.72,3.5,1,1,1.15,4.58,1.53,3.82
2019-01-15-20,3.67,3.0,1,1,1.15,3.82,1.53,3.06
2019-01-15-21,3.94,3.0,1,1,1.15,2.67,1.53,2.29
2019-01-15-22,3.94,2.5,1,0,1.53,2.67,1.53,1.91
2019-01-15-23,3.83,2.0,1,0,1.91,2.67,1.53,1.91
2019-01-16-00,4.06,2.0,1,0,3.44,2.67,1.53,1.53
2019-01-16-01,3.83,2.0,-999,0,3.82,2.67,1.53,2.29
2019-01-16-02,3.83,2.0,1,1,4.58,2.67,1.53,2.29
2019-01-16-03,3.72,2.0,1,2,4.58,2.29,1.53,2.29
2019-01-16-04,3.72,2.0,1,1,4.58,2.67,1.53,2.29
2019-01-16-05,3.83,2.0,1,0,3.82,2.29,1.53,1.91
2019-01-16-06,3.83,2.0,1,0,3.44,2.67,1.53,1.91
2019-01-16-07,4.0,2.5,1,1,3.06,2.67,1.53,1.91
2019-01-16-08,4.11,2.5,1,1,2.67,2.67,1.53,2.29
2019-01-16-09,4.22,2.5,1,1,2.67,3.06,1.53,2.67
2019-01-16-10,4.44,2.5,1,0,3.44,3.06,1.53,3.06
2019-01-16-11,4.67,2.5,0,0,4.2,3.44,1.53,3.06
2019-01-16-12,4.22,2.5,0,0,4.58,3.44,1.53,2.67
2019-01-16-13,3.89,2.5,0,0,3.44,3.06,1.53,2.67
