,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-08-05,28.39,8.5,12,2,8.5,20.18,20.18,30.27
2019-01-08-06,39.83,12.0,14,4,9.56,23.36,20.18,32.39
2019-01-08-07,44.5,16.5,19,4,12.74,24.43,20.71,32.92
2019-01-08-08,44.33,21.5,26,6,14.87,27.08,21.24,29.74
2019-01-08-09,34.94,20.5,34,12,12.74,26.02,21.24,21.77
2019-01-08-10,28.06,18.5,-999,10,10.62,23.9,19.65,19.12
2019-01-08-11,23.18,18.5,-999,7,7.43,22.3,19.65,20.71
2019-01-08-12,17.65,17.5,18,7,6.37,22.3,18.58,19.65
2019-01-08-13,15.24,16.5,22,6,5.31,20.71,17.52,16.46
2019-01-08-14,15.17,16.0,23,6,5.31,20.71,16.99,15.93
2019-01-08-15,16.18,17.5,22,6,4.78,20.18,18.05,16.46
2019-01-08-16,18.06,15.5,27,6,6.37,21.77,19.65,16.99
2019-01-08-17,22.81,12.5,32,5,9.56,28.14,19.12,17.52
2019-01-08-18,23.88,14.0,34,6,19.65,30.27,23.36,16.99
2019-01-08-19,16.06,11.0,29,6,26.55,27.61,21.24,17.52
2019-01-08-20,15.89,9.5,26,4,29.74,27.08,18.58,15.4
2019-01-08-21,18.33,8.5,30,3,31.86,20.71,19.12,15.4
2019-01-08-22,19.89,7.0,33,3,30.8,19.12,17.52,13.81
2019-01-08-23,18.83,5.0,32,3,30.8,18.58,15.4,15.4
2019-01-09-00,16.78,4.5,32,2,31.33,18.58,15.93,14.34
2019-01-09-01,16.17,3.5,32,-999,30.27,18.58,12.21,14.34
2019-01-09-02,15.72,3.5,29,3,31.86,16.46,11.15,12.21
2019-01-09-03,15.5,2.5,5,6,31.86,15.4,9.03,11.15
2019-01-09-04,17.17,3.0,4,2,33.98,18.05,9.03,9.03
2019-01-09-05,23.28,5.5,12,4,31.86,16.46,11.15,10.09
2019-01-09-06,33.39,7.0,12,4,30.27,17.52,10.09,7.97
2019-01-09-07,39.44,11.0,10,8,28.67,21.77,10.62,7.97
2019-01-09-08,40.0,15.5,19,8,30.8,23.9,11.68,11.15
2019-01-09-09,37.39,10.5,13,6,28.14,23.9,11.68,12.21
2019-01-09-10,36.0,9.0,49,8,27.08,24.96,11.68,11.68
2019-01-09-11,37.06,9.0,56,4,26.02,26.55,12.21,10.09
2019-01-09-12,37.28,9.0,10,7,27.61,26.02,11.68,10.09
2019-01-09-13,36.33,10.0,7,8,29.74,24.96,12.74,10.09
2019-01-09-14,38.44,10.5,6,5,29.2,21.77,12.21,10.09
2019-01-09-15,42.78,13.0,13,5,28.14,21.24,12.74,11.68
2019-01-09-16,48.0,18.0,11,4,29.2,23.36,13.81,12.21
2019-01-09-17,52.0,18.5,9,5,29.74,26.55,14.34,15.93
2019-01-09-18,54.5,22.5,9,5,31.86,28.67,14.87,16.46
2019-01-09-19,55.44,32.5,12,8,33.45,28.67,16.46,15.4
2019-01-09-20,50.61,26.0,15,4,33.98,28.67,16.46,16.99
2019-01-09-21,49.22,27.5,19,3,35.58,28.14,19.12,20.18
2019-01-09-22,48.72,26.5,19,5,38.23,26.55,19.65,15.93
2019-01-09-23,48.22,24.5,18,4,38.76,28.14,21.24,14.87
2019-01-10-00,49.06,17.0,14,3,38.76,27.08,23.36,13.81
2019-01-10-01,47.11,12.0,-999,2,38.76,24.43,23.9,16.99
2019-01-10-02,43.33,11.0,12,3,37.7,23.36,22.3,19.12
2019-01-10-03,40.39,10.0,19,11,37.17,22.83,24.43,17.52
2019-01-10-04,40.17,10.5,21,14,36.11,21.24,22.83,20.71
2019-01-10-05,40.78,13.0,14,19,35.05,22.3,20.71,23.9
2019-01-10-06,43.44,19.0,20,18,35.58,21.77,22.3,27.61
2019-01-10-07,47.33,30.5,27,30,36.11,26.55,24.43,27.61
2019-01-10-08,50.44,36.0,22,39,36.64,33.45,24.43,28.14
2019-01-10-09,53.72,18.5,24,34,35.58,32.92,23.9,27.61
2019-01-10-10,55.11,14.5,22,17,37.7,28.67,22.3,30.27
2019-01-10-11,53.28,13.0,19,4,39.83,27.61,21.77,31.33
2019-01-10-12,48.28,12.0,19,4,39.83,25.49,20.71,28.14
2019-01-10-13,49.67,11.0,13,3,38.76,27.08,16.99,31.86
2019-01-10-14,49.29,13.0,15,3,39.29,28.67,18.58,24.43
2019-01-10-15,42.59,16.0,17,4,36.11,29.74,24.43,16.46
2019-01-10-16,43.0,16.0,8,4,45.67,28.67,28.14,14.34
2019-01-10-17,47.83,17.0,21,3,48.85,27.08,29.2,14.34
2019-01-10-18,49.39,14.0,15,7,50.98,25.49,29.74,15.4
2019-01-10-19,50.39,14.0,11,11,50.44,21.24,27.08,14.87
2019-01-10-20,48.33,12.0,11,7,50.44,19.12,26.55,12.74
2019-01-10-21,47.0,13.0,9,5,50.98,23.36,27.08,13.28
2019-01-10-22,47.39,9.0,9,4,50.44,21.24,26.02,15.93
2019-01-10-23,48.78,6.0,9,5,47.79,19.65,24.96,15.4
2019-01-11-00,49.5,4.0,10,3,48.32,19.12,24.43,14.87
2019-01-11-01,49.61,4.0,19,5,48.85,22.83,24.96,18.05
2019-01-11-02,49.11,5.0,16,8,47.26,24.96,24.43,16.46
2019-01-11-03,48.56,8.0,12,8,44.6,26.55,23.36,20.18
2019-01-11-04,48.5,5.0,14,14,40.36,25.49,23.36,21.77
2019-01-11-05,48.89,8.0,15,14,37.7,24.43,22.3,18.58
2019-01-11-06,52.56,15.0,18,19,36.11,20.71,21.77,19.12
2019-01-11-07,54.22,17.0,23,22,36.11,24.43,21.77,18.58
2019-01-11-08,54.33,23.0,27,37,37.17,30.27,22.3,20.18
2019-01-11-09,54.56,18.0,28,25,40.36,29.74,22.83,19.65
2019-01-11-10,50.44,13.0,25,8,38.76,28.14,22.83,21.24
2019-01-11-11,42.78,14.0,28,4,34.52,26.55,23.36,24.96
2019-01-11-12,40.78,14.0,29,4,31.86,23.9,23.9,28.67
2019-01-11-13,45.76,17.5,24,4,29.74,24.43,26.02,28.67
2019-01-11-14,50.88,16.5,26,4,31.33,28.67,24.96,29.2
2019-01-11-15,55.61,13.0,36,5,31.86,35.58,29.74,30.27
2019-01-11-16,58.0,15.0,39,5,37.7,39.29,35.05,29.74
2019-01-11-17,60.94,19.5,43,5,45.14,38.76,29.2,30.27
2019-01-11-18,61.83,23.0,37,6,48.85,38.23,27.61,31.33
2019-01-11-19,63.0,20.0,30,7,50.98,37.17,26.02,29.2
2019-01-11-20,66.94,19.0,22,9,53.63,35.58,24.96,25.49
2019-01-11-21,67.83,18.5,26,7,54.16,33.45,23.9,24.43
2019-01-11-22,66.33,16.0,24,5,56.29,32.92,22.83,22.83
2019-01-11-23,65.33,14.5,27,4,55.76,30.8,22.3,20.71
2019-01-12-00,63.83,12.5,29,2,53.63,28.67,21.77,16.99
2019-01-12-01,62.39,13.0,23,2,51.51,27.61,21.77,17.52
2019-01-12-02,59.94,13.0,20,2,48.85,28.14,21.24,18.58
2019-01-12-03,58.11,10.5,19,2,51.51,26.02,21.77,18.05
2019-01-12-04,56.61,8.0,15,1,53.1,27.61,20.71,18.58
2019-01-12-05,56.56,11.0,14,2,53.1,26.55,20.71,25.49
2019-01-12-06,57.06,15.5,14,2,50.44,24.43,20.18,17.52
2019-01-12-07,57.61,15.0,21,4,46.2,26.02,20.18,19.12
2019-01-12-08,58.83,17.5,25,4,43.01,25.49,21.24,17.52
2019-01-12-09,59.5,21.5,21,4,40.36,23.9,20.18,20.71
2019-01-12-10,63.11,15.5,25,4,37.7,23.36,19.12,16.99
2019-01-12-11,62.67,12.5,25,2,38.23,22.83,19.65,15.4
2019-01-12-12,55.39,9.5,23,2,38.76,23.9,20.71,13.81
2019-01-12-13,45.39,8.5,19,2,38.23,23.9,20.71,13.81
2019-01-12-14,41.0,8.5,16,2,41.42,25.49,19.12,14.34
2019-01-12-15,38.11,11.0,13,3,49.38,28.67,20.71,16.99
2019-01-12-16,41.83,13.5,15,3,58.94,31.86,22.83,14.34
2019-01-12-17,49.94,20.5,13,3,67.97,34.52,25.49,11.68
2019-01-12-18,46.94,20.0,12,3,71.15,33.45,26.55,12.21
2019-01-12-19,46.89,18.0,12,3,71.68,32.39,25.49,15.4
2019-01-12-20,53.17,16.5,14,3,70.09,31.86,26.02,21.24
2019-01-12-21,52.61,13.5,12,3,67.44,30.8,24.96,25.49
2019-01-12-22,55.22,19.0,11,2,65.31,30.27,24.96,26.02
2019-01-12-23,59.0,12.0,10,3,64.78,29.74,24.96,24.96
2019-01-13-00,58.67,11.0,12,2,63.19,28.67,24.96,21.77
2019-01-13-01,56.17,7.5,15,5,61.6,25.49,23.9,19.65
2019-01-13-02,48.17,8.0,15,3,59.47,23.9,23.36,21.24
2019-01-13-03,48.06,7.0,19,7,55.76,22.3,23.36,19.12
2019-01-13-04,47.33,7.5,22,1,52.57,22.3,22.83,16.46
2019-01-13-05,49.94,8.5,23,2,44.6,19.65,22.3,14.34
2019-01-13-06,52.5,11.0,20,2,40.36,20.71,22.3,12.74
2019-01-13-07,53.28,16.0,20,3,38.23,24.43,21.77,14.87
2019-01-13-08,53.17,12.5,18,5,33.45,28.14,21.77,16.99
2019-01-13-09,52.17,12.0,18,4,29.74,27.61,20.18,16.99
2019-01-13-10,53.39,11.5,18,4,17.52,24.96,20.18,19.65
2019-01-13-11,51.56,10.5,19,3,12.74,24.96,19.12,19.65
2019-01-13-12,46.72,10.0,20,3,10.09,26.55,19.12,18.05
2019-01-13-13,40.56,10.0,17,3,7.97,27.61,21.24,16.99
2019-01-13-14,35.56,10.5,16,3,7.43,27.61,23.9,16.46
2019-01-13-15,35.11,10.0,37,3,8.5,29.74,25.49,15.4
2019-01-13-16,37.94,12.0,40,2,10.62,33.98,25.49,14.87
2019-01-13-17,43.06,16.0,32,3,16.99,40.89,25.49,15.4
2019-01-13-18,51.33,18.0,24,6,31.33,47.79,26.55,17.52
2019-01-13-19,55.5,16.5,29,5,42.48,46.73,23.36,19.65
2019-01-13-20,58.44,16.5,30,4,45.14,37.17,22.83,19.65
2019-01-13-21,58.72,15.0,22,4,47.26,33.98,21.77,15.4
2019-01-13-22,58.5,17.0,19,3,47.26,37.7,19.65,14.34
2019-01-13-23,61.28,21.0,13,2,48.85,43.54,20.18,14.34
2019-01-14-00,63.06,10.0,9,1,48.32,47.79,17.52,14.87
2019-01-14-01,62.33,7.0,11,2,47.79,46.2,15.93,12.74
2019-01-14-02,61.5,9.0,10,3,46.2,45.67,15.93,12.74
2019-01-14-03,61.61,9.0,9,1,45.67,46.2,15.4,11.68
2019-01-14-04,59.22,9.5,9,2,45.14,44.6,16.99,11.15
2019-01-14-05,56.78,14.5,9,5,45.14,42.48,18.58,11.68
2019-01-14-06,61.44,24.5,12,2,44.07,45.14,16.99,12.74
2019-01-14-07,62.39,36.0,17,4,39.29,48.32,13.81,12.74
2019-01-14-08,66.06,45.5,21,10,38.23,50.44,15.93,16.46
2019-01-14-09,68.39,37.0,17,10,37.7,45.14,16.46,14.34
2019-01-14-10,71.72,17.0,31,5,40.36,35.58,16.46,13.28
2019-01-14-11,68.67,13.5,29,3,43.01,30.8,17.52,10.62
2019-01-14-12,64.82,10.0,32,3,45.67,25.49,15.93,6.9
2019-01-14-13,59.88,12.0,26,2,51.51,20.71,13.28,6.37
2019-01-14-14,64.11,12.5,20,3,57.35,18.05,14.34,4.78
2019-01-14-15,70.33,14.0,24,3,60.0,18.58,18.05,5.84
2019-01-14-16,74.56,17.0,25,4,62.13,20.18,20.71,9.03
2019-01-14-17,77.67,23.0,30,4,64.78,23.9,21.24,12.74
2019-01-14-18,77.61,45.5,36,5,49.38,28.67,21.77,13.28
2019-01-14-19,72.61,42.0,30,6,24.43,33.98,18.05,13.28
2019-01-14-20,68.0,32.0,25,5,9.56,36.11,19.12,13.28
2019-01-14-21,63.0,28.5,32,6,5.84,33.98,17.52,15.4
2019-01-14-22,60.44,26.5,28,2,4.78,34.52,18.05,18.58
2019-01-14-23,65.06,19.0,37,2,4.25,37.7,17.52,22.83
2019-01-15-00,60.83,16.0,41,3,4.25,37.17,19.12,14.34
2019-01-15-01,50.33,12.0,43,2,4.25,33.98,21.77,14.34
2019-01-15-02,39.89,10.0,45,8,4.25,27.61,24.96,14.34
2019-01-15-03,32.67,9.5,36,6,4.25,25.49,22.83,14.87
2019-01-15-04,27.0,9.5,32,3,3.72,26.55,23.36,14.87
2019-01-15-05,28.33,13.0,28,3,3.72,26.55,22.3,12.74
2019-01-15-06,34.89,20.5,22,2,4.25,30.27,22.3,13.28
2019-01-15-07,44.56,32.0,22,3,5.84,36.64,21.77,15.4
2019-01-15-08,50.61,48.0,25,3,7.97,41.42,21.24,20.71
2019-01-15-09,39.78,35.0,22,4,6.9,38.23,23.36,23.9
2019-01-15-10,32.06,19.5,-999,5,5.84,31.33,23.9,26.02
2019-01-15-11,29.65,16.5,29,4,4.78,32.39,22.3,25.49
2019-01-15-12,25.47,12.5,35,3,4.78,22.3,20.18,26.02
2019-01-15-13,21.41,12.5,19,3,4.78,21.77,22.3,19.12
2019-01-15-14,20.67,12.5,26,4,4.78,22.3,19.65,18.58
2019-01-15-15,18.31,14.0,20,6,4.78,22.83,21.24,19.12
2019-01-15-16,19.35,16.5,19,4,5.84,23.36,24.43,19.12
2019-01-15-17,21.28,19.0,25,4,7.97,29.2,23.36,18.58
2019-01-15-18,20.94,18.5,14,3,13.81,30.27,20.18,22.83
2019-01-15-19,19.67,13.5,16,3,18.05,25.49,16.46,17.52
2019-01-15-20,19.06,9.5,10,3,19.12,25.49,14.34,14.34
2019-01-15-21,18.94,8.5,8,4,22.83,19.12,13.28,15.4
2019-01-15-22,19.83,7.0,9,3,23.36,17.52,12.74,10.62
2019-01-15-23,20.17,5.5,6,3,21.77,15.4,14.34,8.5
2019-01-16-00,17.33,4.5,6,3,23.9,13.81,12.74,7.43
