經度,緯度,八小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
122.0285,21.872742,7.62939453125e-06,35.74,35.74
119.29358,21.91314,0.00528717041015625,55.93,55.94
119.32364,21.913307,0.005382537841796875,56.43,56.44
119.3537,21.913437,0.005519866943359375,57.07,57.08
119.38376,21.913567,0.0056304931640625,57.64,57.64
119.41382,21.913704,0.005741119384765625,58.21,58.22
119.44388,21.913826,0.00582122802734375,56.86,56.87
119.47394,21.913925,0.00586700439453125,57.59,57.59
119.504,21.914032,0.005886077880859375,58.25,58.26
119.53406,21.914139,0.005870819091796875,58.87,58.88
119.56412,21.914215,0.00585174560546875,59.49,59.49
119.59418,21.914314,0.005863189697265625,60.0,60.01
119.62424,21.91439,0.006237030029296875,50.21,50.22
119.6543,21.914482,0.007404327392578125,51.05,51.05
119.68436,21.91455,0.007415771484375,53.22,53.23
119.71442,21.914589,0.00860595703125,53.47,53.48
119.74448,21.91465,0.009613037109375,53.68,53.68
119.774536,21.914703,0.010467529296875,53.75,53.76
119.804596,21.914742,0.010951995849609375,53.79,53.8
119.834656,21.914795,0.01137542724609375,71.3,71.32
119.864716,21.914818,0.01247406005859375,71.92,71.93
119.894775,21.914848,0.01361083984375,72.9,72.91
119.924835,21.914871,0.014312744140625,73.04,73.05
119.954895,21.914886,0.014007568359375,72.65,72.67
119.984955,21.914886,0.013427734375,71.9,71.91
120.015015,21.914886,0.01284027099609375,48.01,48.02
120.045105,21.914886,0.01401519775390625,66.81,66.82
120.075134,21.914871,0.013275146484375,66.44,66.45
120.105225,21.914848,0.0135040283203125,59.33,59.35
120.135254,21.914818,0.01442718505859375,58.81,58.83
120.165344,21.914795,0.014652252197265625,58.81,58.82
120.19537,21.914742,0.014373779296875,58.89,58.9
120.225464,21.914703,0.0149078369140625,71.26,71.28
120.25552,21.91465,0.01589202880859375,72.28,72.29
120.28558,21.914589,0.016815185546875,72.64,72.66
120.31564,21.91455,0.01750946044921875,72.32,72.33
120.3457,21.914482,0.01776885986328125,71.31,71.32
120.37576,21.91439,0.01340484619140625,65.62,65.63
120.40582,21.914314,0.0105133056640625,69.85,69.86
120.43588,21.914215,0.012226104736328125,60.96,60.97
120.46594,21.914139,0.01380157470703125,64.93,64.95
120.496,21.914032,0.011707305908203125,62.57,62.59
120.52606,21.913925,0.009876251220703125,60.41,60.42
120.55612,21.913826,0.008392333984375,57.48,57.49
120.58618,21.913704,0.006969451904296875,51.35,51.36
120.61624,21.913567,0.00556182861328125,55.1,55.11
120.6463,21.913437,0.00453948974609375,64.36,64.37
120.67636,21.913307,0.003299713134765625,45.98,45.98
120.70642,21.91314,0.002155303955078125,48.61,48.61
120.73648,21.913002,0.000850677490234375,40.98,40.98
120.76654,21.91285,0.000453948974609375,38.43,38.43
120.7966,21.91269,0.000396728515625,38.39,38.39
120.82666,21.912506,0.000331878662109375,37.96,37.96
120.85672,21.912346,0.00028228759765625,37.12,37.12
120.88678,21.912163,0.000255584716796875,53.93,53.93
120.91684,21.911964,0.00025177001953125,53.83,53.83
120.9469,21.911774,0.000232696533203125,41.82,41.82
120.97696,21.911568,0.000263214111328125,53.48,53.48
121.00702,21.91137,0.00026702880859375,53.25,53.25
121.03708,21.911156,0.00026702880859375,53.07,53.07
121.06714,21.91095,0.000274658203125,52.91,52.91
121.0972,21.91072,0.000286102294921875,52.77,52.77
121.12726,21.910492,0.000263214111328125,52.66,52.66
121.15732,21.910255,0.0002288818359375,52.58,52.58
121.18738,21.910004,0.000194549560546875,52.5,52.5
121.21744,21.909744,0.0001678466796875,52.38,52.38
121.2475,21.909492,0.00012969970703125,52.28,52.28
121.27756,21.909218,0.000118255615234375,52.17,52.17
121.30762,21.90895,0.0001068115234375,40.24,40.24
121.33765,21.908684,0.000102996826171875,40.08,40.08
121.36774,21.908417,0.000102996826171875,39.91,39.91
121.397766,21.908104,8.7738037109375e-05,51.23,51.23
121.427826,21.90783,8.392333984375e-05,51.06,51.06
121.457886,21.907532,7.2479248046875e-05,51.51,51.51
121.487946,21.907219,6.866455078125e-05,50.79,50.79
121.518005,21.906898,5.340576171875e-05,51.26,51.26
121.548065,21.906586,4.57763671875e-05,51.09,51.09
121.578125,21.906265,4.1961669921875e-05,43.1,43.1
121.608185,21.905937,3.4332275390625e-05,43.18,43.18
121.638245,21.905594,2.288818359375e-05,39.82,39.82
121.668274,21.905258,2.6702880859375e-05,43.06,43.06
121.698364,21.904907,2.288818359375e-05,39.86,39.86
121.72839,21.904549,1.9073486328125e-05,43.08,43.08
121.75845,21.904182,1.52587890625e-05,43.05,43.05
121.78851,21.903816,1.1444091796875e-05,43.35,43.35
121.81857,21.90342,1.1444091796875e-05,42.8,42.8
121.84863,21.903046,7.62939453125e-06,40.5,40.5
121.87869,21.902664,7.62939453125e-06,40.22,40.22
121.90875,21.902275,7.62939453125e-06,45.53,45.53
121.93878,21.90187,7.62939453125e-06,41.52,41.52
121.96884,21.901482,7.62939453125e-06,32.7,32.7
121.9989,21.901054,7.62939453125e-06,51.5,51.5
122.02896,21.900627,3.814697265625e-06,41.59,41.59
119.293396,21.941048,0.005199432373046875,55.37,55.38
119.32349,21.941193,0.005298614501953125,55.77,55.78
119.353546,21.94133,0.0053863525390625,56.31,56.32
119.383606,21.94146,0.005481719970703125,56.84,56.85
119.4137,21.941582,0.005611419677734375,57.41,57.42
119.443756,21.941704,0.005767822265625,58.07,58.08
119.473816,21.941803,0.005886077880859375,56.76,56.77
119.503876,21.941925,0.005970001220703125,57.54,57.55
119.533936,21.942017,0.006011962890625,58.3,58.31
119.564026,21.942123,0.0059967041015625,59.01,59.02
119.594086,21.942192,0.00600433349609375,59.63,59.63
119.624146,21.942276,0.006038665771484375,60.21,60.22
119.654236,21.94236,0.006458282470703125,50.41,50.41
119.684296,21.942436,0.007648468017578125,51.27,51.28
119.714355,21.94249,0.00878143310546875,52.2,52.21
119.744415,21.942558,0.00879669189453125,53.6,53.61
119.774475,21.942589,0.009899139404296875,53.81,53.82
119.804565,21.942635,0.01068878173828125,53.91,53.92
119.834625,21.942673,0.011016845703125,53.84,53.85
119.864685,21.942719,0.0111236572265625,71.12,71.14
119.894775,21.942734,0.012237548828125,72.32,72.33
119.924835,21.942757,0.0136260986328125,72.93,72.95
119.954895,21.94278,0.0143280029296875,73.0,73.01
119.984955,21.94278,0.01409912109375,72.4,72.41
120.015015,21.94278,0.01366424560546875,71.49,71.51
120.045105,21.94278,0.01265716552734375,70.63,70.65
120.075165,21.942757,0.013702392578125,52.4,52.41
120.105225,21.942734,0.01335906982421875,60.01,60.02
120.135315,21.942719,0.014495849609375,59.36,59.37
120.165375,21.942673,0.014461517333984375,58.74,58.76
120.195435,21.942635,0.014415740966796875,58.79,58.8
120.225494,21.942589,0.01457977294921875,70.83,70.84
120.255554,21.942558,0.0156707763671875,72.06,72.08
120.285645,21.94249,0.0167236328125,72.65,72.66
120.315704,21.942436,0.01763153076171875,72.45,72.47
120.345764,21.94236,0.01796722412109375,71.33,71.34
120.375854,21.942276,0.0178375244140625,68.29,68.31
120.405914,21.942192,0.01361083984375,67.07,67.08
120.435974,21.942123,0.011882781982421875,61.02,61.03
120.466034,21.942017,0.013427734375,60.86,60.87
120.49609,21.941925,0.0146484375,60.06,60.08
120.526184,21.941803,0.01342010498046875,64.13,64.15
120.556244,21.941704,0.011737823486328125,62.09,62.1
120.5863,21.941582,0.00925445556640625,60.87,60.88
120.616394,21.94146,0.00676727294921875,49.94,49.95
120.646454,21.94133,0.0052947998046875,47.93,47.94
120.67651,21.941193,0.003665924072265625,48.69,48.7
120.70657,21.941048,0.0027618408203125,51.58,51.58
