經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.41394,21.885796,3.695488e-05,0.3,0.3
119.444,21.885933,3.886223e-05,0.32,0.32
119.47406,21.88604,4.2170286e-05,0.34,0.34
119.50409,21.886154,4.49121e-05,0.36,0.36
119.53415,21.886238,4.887581e-05,0.39,0.39
119.56421,21.88633,5.301833e-05,0.41,0.41
119.59427,21.886436,5.8203936e-05,0.44,0.44
119.62433,21.886513,6.0915947e-05,0.46,0.46
119.65436,21.886574,6.532669e-05,0.49,0.49
119.68442,21.88665,7.498264e-05,0.51,0.51
119.71448,21.886703,8.028746e-05,0.53,0.53
119.74454,21.886772,8.85129e-05,0.55,0.55
119.7746,21.886826,9.8228455e-05,0.57,0.57
119.80463,21.886856,0.000105023384,0.58,0.58
119.83469,21.886902,0.00011384487,0.6,0.6
119.864746,21.88691,0.00012290478,0.63,0.63
119.894806,21.886948,0.00012892485,0.65,0.65
119.924866,21.88697,0.00012916327,0.67,0.67
119.954895,21.886993,0.00013273954,0.69,0.69
119.984985,21.886993,0.00012218952,0.71,0.71
120.015015,21.886993,0.00013303757,0.73,0.73
120.045074,21.886993,0.00013589859,0.75,0.75
120.075134,21.88697,0.00012540817,0.76,0.76
120.105194,21.886948,0.00013321638,0.78,0.78
120.135254,21.88691,0.00012308359,0.79,0.79
120.16528,21.886902,0.00011396408,0.8,0.8
120.19534,21.886856,0.00011384487,0.81,0.81
120.2254,21.886826,0.0001078248,0.81,0.81
120.25546,21.886772,9.983778e-05,0.78,0.78
120.28552,21.886703,8.940697e-05,0.74,0.74
120.31555,21.88665,7.69496e-05,0.69,0.69
120.34561,21.886574,6.967783e-05,0.63,0.63
120.37567,21.886513,5.7518482e-05,0.54,0.54
120.40573,21.886436,5.337596e-05,0.45,0.45
120.43579,21.88633,5.143881e-05,0.39,0.39
120.46582,21.886238,3.5852194e-05,0.34,0.34
120.49588,21.886154,3.439188e-05,0.29,0.29
120.52594,21.88604,2.4467707e-05,0.25,0.25
