經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
121.1871,21.882126,2.0712614059448242e-05,0.45,0.45
121.21716,21.881866,2.1457672119140625e-05,0.46,0.46
121.24719,21.881615,2.5600194931030273e-05,0.13,0.13
121.27725,21.88134,2.2873282432556152e-05,0.08,0.08
121.30731,21.881088,2.0384788513183594e-05,0.55,0.55
121.33737,21.880783,1.8775463104248047e-05,0.57,0.57
121.36743,21.880531,1.7639249563217163e-05,0.05,0.05
121.39746,21.880241,1.737847924232483e-05,0.06,0.06
121.42752,21.879944,1.9181519746780396e-05,0.05,0.05
121.45758,21.879639,1.8194317817687988e-05,0.05,0.05
121.48761,21.879318,1.2520700693130493e-05,0.04,0.04
121.51767,21.879013,8.940696716308594e-06,0.32,0.32
121.54773,21.8787,7.0035457611083984e-06,0.31,0.31
121.57776,21.87838,3.516674041748047e-06,0.29,0.29
121.60782,21.878044,1.1563301086425781e-05,0.16,0.16
121.63788,21.877708,1.741945743560791e-05,0.16,0.16
121.66791,21.877365,4.76837158203125e-05,0.16,0.16
121.69797,21.877007,2.60230153799057e-05,0.02,0.02
121.72803,21.876656,4.7441571950912476e-06,0.03,0.03
121.75806,21.87629,3.1888484954833984e-06,0.01,0.01
121.78812,21.875916,1.2606382369995117e-05,0.15,0.15
121.81818,21.875542,1.4960765838623047e-05,0.16,0.16
121.848206,21.87516,7.681548595428467e-06,0.03,0.03
121.878265,21.874779,3.4868717193603516e-06,0.31,0.31
121.908325,21.874382,3.2186508178710938e-06,0.26,0.26
121.938354,21.873993,3.377441316843033e-06,0.01,0.01
121.968414,21.87358,2.771615982055664e-06,0.23,0.23
121.99844,21.873154,3.857538104057312e-06,0.02,0.02
122.0285,21.872742,8.940696716308594e-07,0.25,0.25
119.29358,21.91314,0.000914454460144043,0.82,0.82
119.32364,21.913307,0.0010377168655395508,0.8,0.8
119.3537,21.913437,0.0012145042419433594,0.76,0.77
119.38376,21.913567,0.0012919306755065918,0.76,0.76
119.41382,21.913704,0.0013172626495361328,0.78,0.79
119.44388,21.913826,0.0014106035232543945,0.82,0.82
119.47394,21.913925,0.001426398754119873,0.82,0.82
119.504,21.914032,0.001360476016998291,0.76,0.76
119.53406,21.914139,0.0013721585273742676,0.95,0.95
119.56412,21.914215,0.0014832019805908203,0.93,0.93
119.59418,21.914314,0.001754462718963623,0.64,0.64
119.62424,21.91439,0.0015606582164764404,0.25,0.25
119.6543,21.914482,0.001795068383216858,0.16,0.16
119.68436,21.91455,0.0013148486614227295,0.41,0.41
119.71442,21.914589,0.0008116960525512695,1.08,1.08
119.74448,21.91465,0.0007035732269287109,1.21,1.21
119.774536,21.914703,0.0012949109077453613,0.86,0.87
119.804596,21.914742,0.001354992389678955,0.6,0.6
119.834656,21.914795,0.0013825297355651855,0.18,0.18
119.864716,21.914818,0.0011057853698730469,0.17,0.17
119.894775,21.914848,0.0011386871337890625,0.8,0.8
119.924835,21.914871,0.001983165740966797,0.8,0.8
119.954895,21.914886,0.0014946460723876953,0.87,0.87
119.984955,21.914886,0.0016935765743255615,0.1,0.1
120.015015,21.914886,0.001784682273864746,0.25,0.25
120.045105,21.914886,0.002337038516998291,0.62,0.62
120.075134,21.914871,0.0016186535358428955,0.2,0.21
120.105225,21.914848,0.005832552909851074,1.32,1.33
120.135254,21.914818,0.0023073703050613403,0.21,0.21
120.165344,21.914795,0.0016417503356933594,1.06,1.06
120.19537,21.914742,0.001988649368286133,1.07,1.08
120.225464,21.914703,0.0017823874950408936,0.49,0.49
120.25552,21.91465,0.0018173456192016602,1.57,1.58
120.28558,21.914589,0.0012045502662658691,0.35,0.35
120.31564,21.91455,0.0015423893928527832,0.82,0.82
120.3457,21.914482,0.0026971101760864258,0.83,0.83
120.37576,21.91439,0.001016378402709961,3.02,3.03
120.40582,21.914314,0.0009462833404541016,2.38,2.38
120.43588,21.914215,0.0009093284606933594,2.94,2.94
120.46594,21.914139,0.0012416839599609375,1.47,1.47
120.496,21.914032,0.0009033679962158203,2.69,2.69
120.52606,21.913925,0.0013055205345153809,0.8,0.8
120.55612,21.913826,0.0008121728897094727,1.42,1.42
120.58618,21.913704,0.000688016414642334,0.96,0.96
120.61624,21.913567,0.0005043745040893555,0.6,0.6
120.6463,21.913437,0.0003444254398345947,0.38,0.38
120.67636,21.913307,0.0002872943878173828,2.32,2.32
