經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.58606,21.885796,3.5613775e-05,0.35,0.35
120.61609,21.885689,1.6510487e-05,0.32,0.32
120.64615,21.885551,7.5101852e-06,0.3,0.3
120.67621,21.885406,4.2021275e-06,0.29,0.29
120.70627,21.885262,1.7881393e-06,0.27,0.27
120.73633,21.885109,7.003546e-07,0.25,0.25
120.76636,21.884964,5.811453e-07,0.23,0.23
120.79642,21.884811,4.61936e-07,0.23,0.23
120.82648,21.88462,4.0233135e-07,0.22,0.22
120.85654,21.884468,4.172325e-07,0.22,0.22
120.8866,21.88427,2.682209e-07,0.21,0.21
120.916626,21.884087,2.9802322e-07,0.21,0.21
120.946686,21.883888,3.7252903e-07,0.21,0.21
120.976746,21.883705,5.5134296e-07,0.21,0.21
121.006775,21.883476,5.5134296e-07,0.21,0.21
121.036835,21.883278,4.61936e-07,0.21,0.21
121.066895,21.883057,4.3213367e-07,0.21,0.21
121.096954,21.88282,2.682209e-07,0.21,0.21
121.127014,21.882599,3.2782555e-07,0.21,0.21
121.15704,21.882355,2.0861626e-07,0.21,0.21
121.1871,21.882126,2.9802322e-07,0.21,0.21
121.21716,21.881866,1.4901161e-07,0.21,0.21
121.24719,21.881615,2.0861626e-07,0.21,0.21
121.27725,21.88134,2.0861626e-07,0.22,0.22
121.30731,21.881088,1.6391277e-07,0.22,0.22
121.33737,21.880783,1.4901161e-07,0.22,0.22
121.36743,21.880531,1.7881393e-07,0.22,0.22
121.39746,21.880241,1.6391277e-07,0.23,0.23
121.42752,21.879944,0.0,0.24,0.24
121.45758,21.879639,8.940697e-08,0.24,0.24
121.48761,21.879318,5.9604645e-08,0.24,0.24
121.51767,21.879013,5.9604645e-08,0.23,0.23
121.54773,21.8787,1.1920929e-07,0.23,0.23
121.57776,21.87838,2.9802322e-08,0.23,0.23
121.60782,21.878044,-1.4901161e-08,0.23,0.23
121.63788,21.877708,-4.4703484e-08,0.23,0.23
121.66791,21.877365,4.4703484e-08,0.24,0.24
121.69797,21.877007,1.4901161e-08,0.24,0.24
121.72803,21.876656,0.0,0.24,0.24
121.75806,21.87629,0.0,0.25,0.25
121.78812,21.875916,5.9604645e-08,0.25,0.25
121.81818,21.875542,0.0,0.26,0.26
121.848206,21.87516,0.0,0.27,0.27
121.878265,21.874779,2.9802322e-08,0.27,0.27
121.908325,21.874382,2.9802322e-08,0.28,0.28
121.938354,21.873993,5.9604645e-08,0.29,0.29
121.968414,21.87358,2.9802322e-08,0.3,0.3
121.99844,21.873154,-5.9604645e-08,0.32,0.32
122.0285,21.872742,0.0,0.36,0.36
119.29358,21.91314,3.4481287e-05,0.27,0.27
119.32364,21.913307,3.749132e-05,0.28,0.28
119.3537,21.913437,4.1246414e-05,0.29,0.29
119.38376,21.913567,4.5090914e-05,0.3,0.3
119.41382,21.913704,4.9859285e-05,0.32,0.32
119.44388,21.913826,5.7160854e-05,0.34,0.34
119.47394,21.913925,6.660819e-05,0.37,0.37
119.504,21.914032,7.686019e-05,0.4,0.4
119.53406,21.914139,8.735061e-05,0.43,0.43
119.56412,21.914215,9.903312e-05,0.47,0.47
119.59418,21.914314,0.00011122227,0.5,0.5
119.62424,21.91439,0.00012904406,0.54,0.54
119.6543,21.914482,0.00014716387,0.58,0.58
119.68436,21.91455,0.00016516447,0.61,0.61
119.71442,21.914589,0.00019216537,0.65,0.65
119.74448,21.91465,0.00022113323,0.69,0.69
119.774536,21.914703,0.00025886297,0.72,0.72
119.804596,21.914742,0.00029361248,0.76,0.76
119.834656,21.914795,0.00034308434,0.8,0.81
119.864716,21.914818,0.000402987,0.86,0.86
119.894775,21.914848,0.00046163797,0.92,0.92
119.924835,21.914871,0.0005257726,0.97,0.97
119.954895,21.914886,0.00059759617,1.01,1.01
119.984955,21.914886,0.0006701946,1.07,1.07
120.015015,21.914886,0.00072443485,1.13,1.13
120.045105,21.914886,0.00078606606,1.2,1.2
120.075134,21.914871,0.0008586645,1.29,1.29
120.105225,21.914848,0.0009108782,1.38,1.38
120.135254,21.914818,0.0009496212,1.47,1.47
120.165344,21.914795,0.0009887218,1.56,1.56
120.19537,21.914742,0.0010017157,1.64,1.64
120.225464,21.914703,0.00096309185,1.68,1.68
120.25552,21.91465,0.0009146929,1.67,1.67
120.28558,21.914589,0.0008350611,1.61,1.61
120.31564,21.91455,0.0007544756,1.53,1.53
120.3457,21.914482,0.0007041693,1.41,1.41
120.37576,21.91439,0.00061511993,1.22,1.22
120.40582,21.914314,0.0005110502,1.01,1.01
120.43588,21.914215,0.00037878752,0.83,0.83
120.46594,21.914139,0.0002655983,0.7,0.7
120.496,21.914032,0.00018429756,0.6,0.6
120.52606,21.913925,0.00013250113,0.51,0.51
120.55612,21.913826,8.866191e-05,0.44,0.44
120.58618,21.913704,5.182624e-05,0.38,0.38
120.61624,21.913567,2.6136637e-05,0.35,0.35
120.6463,21.913437,1.1354685e-05,0.33,0.33
120.67636,21.913307,6.109476e-06,0.33,0.33
120.70642,21.91314,2.3543835e-06,0.35,0.35
120.73648,21.913002,7.1525574e-07,0.33,0.33
120.76654,21.91285,4.172325e-07,0.26,0.26
120.7966,21.91269,3.874302e-07,0.26,0.26
120.82666,21.912506,2.8312206e-07,0.25,0.25
120.85672,21.912346,1.0430813e-07,0.24,0.24
120.88678,21.912163,4.3213367e-07,0.21,0.21
120.91684,21.911964,3.7252903e-07,0.21,0.21
120.9469,21.911774,3.427267e-07,0.21,0.21
120.97696,21.911568,4.4703484e-07,0.21,0.21
121.00702,21.91137,5.9604645e-07,0.21,0.21
121.03708,21.911156,4.61936e-07,0.21,0.21
121.06714,21.91095,4.0233135e-07,0.21,0.21
121.0972,21.91072,4.172325e-07,0.21,0.21
121.12726,21.910492,3.7252903e-07,0.21,0.21
