,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-06-17-13,8.0,23.0,2,40,32,31.0,23.0,19.0,17,16.0,31.0,21,20.0,-999,19.0,16.0,5,-999,25.0,32,20.0,11.0,33.0,-999,15.0,27,30,30.0,14.0,21,13,13.0,10.0,17.0,-999,17.0,15.0,16.0,11.0,-999,14.0,22.0,21.0,-999,6.0,9.0,17.0,2.0,8.0,21,3.0,8.0,6.0,-999,4.0,11.0,6.0,12,1,3,9.0,12.0,-999,11.0,19.0,6.0,1.0,6.0,17.0,18.0,22.0
2019-06-17-14,10.0,19.0,2,36,25,26.0,23.0,15.0,-999,14.0,23.0,-999,20.0,-999,15.0,20.0,1,19,24.0,24,14.0,7.0,38.0,1,23.0,-999,26,29.0,18.0,19,20,21.0,13.0,8.0,-999,16.0,12.0,16.0,9.0,28,16.0,21.0,10.0,9,12.0,9.0,14.0,7.0,1.0,20,3.0,6.0,9.0,-999,4.0,11.0,5.0,4,1,4,16.0,9.0,-999,11.0,18.0,4.0,1.0,7.0,18.0,16.0,25.0
2019-06-17-15,11.0,16.0,11,26,-999,23.0,24.0,15.0,13,10.0,7.0,22,16.0,-999,16.0,19.0,11,19,27.0,24,13.0,7.0,31.0,3,29.0,-999,11,15.0,17.0,16,21,19.0,18.0,13.0,-999,13.0,12.0,18.0,6.0,18,21.0,18.0,15.0,12,4.0,9.0,9.0,4.0,1.0,-999,2.0,7.0,3.0,15,7.0,12.0,3.0,8,1,10,4.0,10.0,-999,11.0,16.0,6.0,5.0,7.0,17.0,13.0,26.0
2019-06-17-16,14.0,13.0,11,18,12,22.0,20.0,17.0,12,12.0,17.0,24,13.0,-999,16.0,15.0,13,17,24.0,24,13.0,11.0,30.0,5,31.0,-999,7,14.0,12.0,15,-999,9.0,14.0,15.0,-999,13.0,12.0,17.0,2.0,3,15.0,12.0,14.0,16,4.0,11.0,11.0,6.0,1.0,24,2.0,12.0,3.0,13,6.0,6.0,1.0,1,1,-999,18.0,9.0,-999,12.0,9.0,6.0,8.0,6.0,14.0,9.0,26.0
2019-06-17-17,15.0,16.0,5,12,13,20.0,15.0,15.0,12,15.0,29.0,25,16.0,-999,17.0,15.0,20,17,26.0,16,15.0,10.0,13.0,3,21.0,22,6,12.0,12.0,14,-999,4.0,6.0,10.0,-999,13.0,10.0,12.0,4.0,1,16.0,10.0,14.0,16,7.0,8.0,8.0,3.0,4.0,13,9.0,6.0,2.0,13,6.0,6.0,7.0,-999,1,-999,12.0,5.0,-999,14.0,12.0,5.0,11.0,6.0,13.0,9.0,22.0
2019-06-17-18,15.0,15.0,7,9,15,17.0,15.0,16.0,14,12.0,22.0,18,16.0,-999,17.0,17.0,20,19,19.0,16,16.0,10.0,13.0,3,11.0,19,5,17.0,9.0,16,-999,5.0,7.0,13.0,-999,13.0,13.0,11.0,3.0,6,7.0,14.0,2.0,13,13.0,15.0,4.0,6.0,4.0,10,10.0,4.0,5.0,13,5.0,3.0,5.0,1,1,5,18.0,5.0,-999,11.0,9.0,8.0,5.0,7.0,14.0,12.0,15.0
2019-06-17-19,12.0,16.0,7,10,13,14.0,16.0,16.0,15,12.0,24.0,17,23.0,-999,18.0,25.0,22,26,25.0,16,12.0,11.0,8.0,6,4.0,6,13,16.0,5.0,14,-999,10.0,7.0,18.0,-999,14.0,17.0,11.0,1.0,19,5.0,11.0,1.0,8,15.0,18.0,8.0,7.0,2.0,4,9.0,6.0,7.0,10,5.0,3.0,7.0,4,1,4,2.0,8.0,-999,13.0,9.0,7.0,1.0,9.0,18.0,14.0,14.0
2019-06-17-20,16.0,17.0,7,8,11,17.0,15.0,16.0,19,14.0,12.0,14,29.0,-999,14.0,25.0,22,25,22.0,15,20.0,16.0,11.0,3,9.0,8,12,14.0,4.0,11,-999,6.0,7.0,19.0,-999,15.0,16.0,7.0,1.0,14,8.0,12.0,1.0,5,11.0,20.0,14.0,11.0,1.0,1,4.0,10.0,11.0,4,4.0,1.0,1.0,3,1,1,13.0,10.0,-999,15.0,16.0,9.0,1.0,8.0,20.0,14.0,16.0
2019-06-17-21,17.0,17.0,11,8,14,18.0,15.0,15.0,15,12.0,17.0,14,21.0,-999,19.0,19.0,19,23,24.0,8,14.0,19.0,11.0,5,7.0,8,8,7.0,6.0,11,-999,7.0,7.0,16.0,-999,14.0,13.0,8.0,1.0,15,19.0,10.0,1.0,7,18.0,22.0,16.0,9.0,1.0,2,7.0,10.0,13.0,6,3.0,3.0,1.0,2,1,4,4.0,9.0,-999,9.0,12.0,4.0,5.0,8.0,20.0,14.0,17.0
2019-06-17-22,16.0,14.0,12,12,13,16.0,15.0,10.0,9,7.0,23.0,10,14.0,-999,17.0,14.0,20,21,19.0,17,7.0,20.0,12.0,7,11.0,5,5,8.0,10.0,10,-999,10.0,6.0,19.0,-999,12.0,12.0,9.0,1.0,12,12.0,7.0,1.0,16,15.0,24.0,19.0,14.0,1.0,9,5.0,10.0,7.0,5,7.0,8.0,8.0,1,1,3,9.0,11.0,-999,6.0,9.0,3.0,8.0,9.0,18.0,12.0,18.0
2019-06-17-23,11.0,9.0,8,10,12,15.0,12.0,6.0,8,7.0,22.0,8,9.0,-999,13.0,15.0,9,19,21.0,20,10.0,23.0,10.0,3,3.0,10,3,4.0,9.0,15,-999,6.0,11.0,20.0,-999,8.0,10.0,4.0,1.0,21,9.0,14.0,1.0,22,10.0,24.0,13.0,22.0,5.0,14,5.0,9.0,5.0,4,5.0,12.0,2.0,4,1,3,1.0,10.0,-999,7.0,5.0,6.0,8.0,7.0,18.0,9.0,15.0
2019-06-18-00,8,10,5.0,8.0,14.0,17.0,14.0,5,10.0,8,21.0,7.0,6.0,-999,6.0,13.0,11.0,19.0,22.0,23.0,10,18,7.0,1,1.0,8.0,5.0,8.0,8,15.0,-999,5,13.0,20.0,-999,9.0,7.0,7.0,1.0,14.0,10.0,16.0,9.0,18,1,11,4,26,8,11,7.0,11,2.0,7.0,3.0,9.0,4,14.0,1.0,18.0,2,10.0,-999,10.0,3.0,4,7,6.0,20.0,6.0,11
2019-06-18-01,7,13,4.0,7.0,13.0,14.0,16.0,5,12.0,7,15.0,11.0,1.0,-999,4.0,13.0,11.0,17.0,29.0,16.0,6,18,10.0,1,5.0,12.0,2.0,3.0,9,16.0,-999,4,9.0,18.0,-999,13.0,8.0,12.0,1.0,7.0,12.0,18.0,15.0,16,1,14,1,17,13,10,5.0,8,2.0,8.0,6.0,10.0,1,12.0,1.0,3.0,5,11.0,-999,8.0,7.0,4,5,7.0,19.0,1.0,13
