,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-08-08,5.22,30.5,3,29,19.85,18.83,12.22,1.53
2019-01-08-09,11.44,31.5,2,16,22.9,20.87,9.67,4.07
2019-01-08-10,16.89,32.0,-999,21,25.96,25.45,10.69,6.11
2019-01-08-11,21.94,30.5,4,28,30.03,26.98,13.23,8.65
2019-01-08-12,27.59,30.5,5,30,32.58,28.5,16.29,12.72
2019-01-08-13,30.47,36.0,8,35,30.54,30.54,19.34,18.32
2019-01-08-14,30.39,41.0,9,46,34.1,34.61,19.34,22.4
2019-01-08-15,29.22,40.0,12,50,35.12,37.67,19.34,23.41
2019-01-08-16,26.53,40.0,11,50,33.59,42.76,18.32,25.45
2019-01-08-17,22.59,41.0,5,46,30.03,48.36,18.83,25.45
2019-01-08-18,18.39,38.5,2,41,19.34,51.41,15.78,24.43
2019-01-08-19,21.0,39.0,2,40,12.72,38.68,15.78,21.89
2019-01-08-20,21.83,40.5,1,39,8.65,29.52,17.82,20.36
2019-01-08-21,19.61,41.5,1,39,6.62,32.07,17.82,21.38
2019-01-08-22,17.89,42.5,1,40,7.13,31.56,18.32,21.89
2019-01-08-23,17.61,43.5,1,41,7.13,30.03,20.87,19.34
2019-01-09-00,18.22,42.0,1,42,6.11,29.01,19.34,17.82
2019-01-09-01,18.44,42.5,1,39,6.11,28.5,22.9,17.31
2019-01-09-02,18.22,43.0,1,40,4.07,29.52,22.9,17.82
2019-01-09-03,18.06,43.5,27,36,4.58,30.03,25.96,18.83
2019-01-09-04,16.78,41.5,30,42,4.07,25.45,24.94,19.85
2019-01-09-05,11.72,38.0,24,39,3.56,25.45,21.89,18.83
2019-01-09-06,5.17,35.5,22,37,5.6,23.92,22.4,19.85
2019-01-09-07,2.5,32.0,26,34,4.58,21.38,21.89,21.38
2019-01-09-08,3.33,28.0,18,34,3.56,21.89,21.89,18.83
2019-01-09-09,5.22,34.0,25,36,5.09,22.4,23.41,19.85
2019-01-09-10,7.5,37.0,20,34,7.13,19.85,26.47,21.38
2019-01-09-11,7.88,36.5,23,39,9.67,15.78,28.5,22.9
2019-01-09-12,7.78,38.0,29,36,10.69,15.78,30.03,28.0
2019-01-09-13,9.0,38.5,34,36,11.71,17.82,30.03,31.56
2019-01-09-14,8.83,38.5,35,39,12.72,22.4,29.01,35.12
2019-01-09-15,6.61,38.5,33,40,14.76,24.94,31.05,38.68
2019-01-09-16,3.82,35.5,33,39,15.27,22.9,30.54,37.67
2019-01-09-17,2.17,35.5,31,38,14.25,19.34,29.52,34.61
2019-01-09-18,2.0,29.5,31,37,11.2,16.8,29.01,29.52
2019-01-09-19,2.06,19.5,28,34,9.16,15.27,25.45,27.49
2019-01-09-20,2.0,23.5,26,38,7.13,15.27,23.92,23.92
2019-01-09-21,2.0,23.0,18,40,5.09,14.76,20.36,20.87
2019-01-09-22,2.17,22.0,15,38,3.05,15.78,18.83,21.89
2019-01-09-23,2.11,24.0,14,39,3.05,13.23,15.78,22.4
2019-01-10-00,2.11,29.5,19,39,3.05,13.23,12.72,21.89
2019-01-10-01,2.17,32.5,-999,-999,2.54,15.27,14.25,17.82
2019-01-10-02,2.5,30.0,22,37,3.05,14.76,15.27,12.72
